Map,Type,Yield,assumed_investement_surface_yield,carbon_dioxid_emission_reduction,construction_costs,consumption_tax,conversion_efficiency,conversion_to_cedar_tree,estimated_annual_power_generation,estimated_electricity_sales_income,estimated_electricity_sales_revenue,fence,geodetic_point,guarantee,installation_location,insurrance_cost,interconnection_price,irr_notes,land_developpement,land_price_or_rent,land_registration,manufacturer,manufacturer2,maximum_output,model,number_of_lots_sold,other_costs_and_features,output_guarantee,price_notes,product_warranty,property_number,remote_monitoring,sales_price,sales_price2,sign,subtitle,system_price,title,total_capacity_of_power_conditioner,total_panel_capacity,unit_price_per_unit_of_electricity_sold,url,weed_prevention_sheet
https://mega-hatsu.com/wp-content/uploads/property/7004/300_250.jpg,TSHM440-144W,9.51,9.51,"27,474 kg-CO2",1,1,20.24,"1,962 本",87359.0,25190249.0,1345328.0,1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,Trunsunsolar(トランサンソーラー),Huawei,440W,SUN2000-4.95KTL-JPL0,1区画,,25.0,", , 円(税込)",12,64267.0,0,1414000000.0,14144000.0,1,2022年2月連系予定！安心・納得のメンテナンスサポート！,1,【14円】過積載83.6kW　限定一区画　年収入約134万円　福島県いわき市中舘下B-90,49.5,83.6,15.4,https://mega-hatsu.com/64267/,0
https://mega-hatsu.com/wp-content/uploads/property/6995/300_250.jpg,LR4-60HPH-445,9.55,9.55,"23,408 kg-CO2",1,1,20.9,"1,672 本",74430.0,22924440.0,1146222.0,1,岐阜県,出力保証25年、パネル製品保証12年、パワコン製品保証10年,岐阜県海津市,0,1,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,1,0,LONGI Solar（ロンジソーラー）,オムロン,445W,KPV-A55-J4,1区画,,25.0,", , 円（土地代、連系負担金、税込)",12,64235.0,0,1200000000.0,12000000.0,0,出力抑制なし！,1,【14円】過積載65.52kW　限定1区画　年収入約114万円　岐阜県海津市,27.5,65.52,15.4,https://mega-hatsu.com/64235/,0
https://mega-hatsu.com/wp-content/uploads/property/6993/300_250.jpg,LR4-72HPH-445M,9.5,9.5,"37,646 kg-CO2",1,1,20.9,"2,689 本",119702.0,36868216.0,1843410.0,1,京都府,出力保証25年、パネル製品保証10年、パワコン製品保証10年,京都府京丹後市,0,1,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,1,0,LONGI Solar（ロンジソーラー）,オムロン,445W,KPV-A55-J4,1区画,,25.0,", , 円（土地代、連系負担金、税込)",12,64229.0,0,1940000000.0,19400000.0,0,出力抑制なし！,1,【14円】過積載114.66kW　限定1区画　年収入約184万円　京都府京丹後市峰山町,49.5,114.66,15.4,https://mega-hatsu.com/64229/,0
https://mega-hatsu.com/wp-content/uploads/property/7000/300_250.jpg,TSHM375-72,9.77,9.77,"27,169 kg-CO2",1,1,19.35,"1,940 本",86389.0,24910546.0,1330390.0,1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,Trunsunsolar(トランサンソーラー),Huawei,375W,SUN2000-4.95KTL-JPL0,1区画,,25.0,", , 円(税込)",12,64256.0,0,1362000000.0,13624000.0,1,2022年2月連系予定！安心・納得のメンテナンスサポート！,1,【14円】過積載90kW　限定一区画　年収入約133万円　福島県いわき市小川A-92,49.5,,15.4,https://mega-hatsu.com/64256/,0
https://mega-hatsu.com/wp-content/uploads/property/6996/300_250.jpg,LR4-60HBD-360,10.09,10.09,"20,728 kg-CO2",1,1,19.1,"1,480 本",65909.0,30054000.0,1739997.0,1,福島県,出力保証30年、パネル製品保証10年、パワコン製品保証5年,福島県南会津郡,0,1,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,LONGI Solar（ロンジソーラー）,Huawei,360W,SUN2000-4.95KTL-JPL,1区画,"土地：地上権　12万円/年,取引条件：お打ち合わせの上,※その他、詳細はお問い合わせくださいませ。",25.0,", , 円（連系負担金、税込）",10,64239.0,1,1699000000.0,16995000.0,1,貴重なFIT24円！日当たり良好！現地視察OK！,1,【24円】低圧60.48kW　限定一区画　年収入約173万円　福島県南会津郡2,49.5,60.48,26.4,https://mega-hatsu.com/64239/,0
https://mega-hatsu.com/wp-content/uploads/property/6997/300_250.jpg,LR4-60HBD-360,9.23,9.23,"16,878 kg-CO2",1,1,19.1,"1,205 本",53669.0,30054000.0,1416861.0,1,福島県,出力保証30年、パネル製品保証10年、パワコン製品保証5年,福島県南会津郡,0,1,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,LONGI Solar（ロンジソーラー）,Huawei,360W,SUN2000-4.95KTL-JPL,1区画,"土地：地上権　17万円/年,取引条件：お打ち合わせの上,※その他、詳細はお問い合わせくださいませ。",25.0,", , 円（連系負担金、税込）",10,64243.0,1,1534000000.0,15345000.0,1,貴重なFIT24円！日当たり良好！現地視察OK！,1,【24円】低圧51.84kW　限定一区画　年収入約141万円　福島県南会津郡1,49.5,51.84,26.4,https://mega-hatsu.com/64243/,0
https://mega-hatsu.com/wp-content/uploads/property/7001/300_250.jpg,TSHM440-144W,10.64,10.64,"26,434 kg-CO2",1,1,20.24,"1,888 本",84051.0,24236376.0,1294385.0,1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,Trunsunsolar(トランサンソーラー),Huawei,440W,SUN2000-4.95KTL-JPL0,1区画,,25.0,", , 円(税込)",12,64258.0,0,1216000000.0,12168000.0,1,2022年2月連系予定！安心・納得のメンテナンスサポート！,1,【14円】過積載90.6kW　限定一区画　年収入約129万円　福島県いわき市下谷地A-93,49.5,90.6,15.4,https://mega-hatsu.com/64258/,0
https://mega-hatsu.com/wp-content/uploads/property/7003/300_250.jpg,TSHM375-72,9.77,9.77,"22,411 kg-CO2",1,1,19.35,"1,600 本",71260.0,20548050.0,1097404.0,1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間https://mega-hatsu.com/wp-content/uploads/property/7001/300_250.jpg,TSHM440-144W,10.64,10.64%,"26,434 kg-CO2",1,1,20.24%,"1,888 本","84,051kwh","24,236,376円","1,294,385円",1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,Trunsunsolar(トランサンソーラー),Huawei,440W,SUN2000-4.95KTL-JPL0,1区画,,25年,", , 円(税込)",12年,64258,0,1216000000.0,"12,168,000円(税込)",1,2022年2月連系予定！安心・納得のメンテナンスサポート！,1,【14円】過積載90.6kW　限定一区画　年収入約129万円　福島県いわき市下谷地A-93,49.5kW,90.6kW,15.4円,https://mega-hatsu.com/64258/,0
https://mega-hatsu.com/wp-content/uploads/property/7002/300_250.jpg,TSHM440-144W,10.03,10.03%,"29,837 kg-CO2",1,1,20.24%,"2,131 本","94,874kwh","27,357,223円","1,461,059円",1,福島県,出力保証25年、パネル製品保証12年,福島県いわき市,0,0,※年間売電額、販売価格を用いて計算しています。上記利回りは予測値となっています。想定売電収入(年間) ÷ 販売価格 × 100 = 利回り(%),1,0,0,Trunsunsolar(トランサンソーラー),Huawei,440W,SUN2000-4.95KTL-JPL0,1区画,,25年,", , 円(税込)",12年,64263,0,1456000000.0,"14,560,000円(税込)",1,2022年2月連系予定！安心・納得のメンテナンスサポート！,1,【14円】過積載90.2kW　限定一区画　年収入約146万円　福島県いわき市白米新屋敷A-63,49.5kW,90.2kW,15.4円,https://mega-hatsu.com/64263/,0
ONGI Solar（ロンジソーラー）,オムロン,455W,KPV-A55-J4,1区画,,25.0,", , 円（土地代、連系負担金、税込)",12,64248.0,0,850000000.0,8500000.0,0,出力抑制なし！,1,【14円】低圧47.32kW　限定1区画　お手頃ミニ案件　京都府京丹後市3,,47.32,15.4,https://mega-hatsu.com/64248/,0
